Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
RJio,Travelling,4G,1,Call Dropped,25.5929519,85.13993862,Bihar
RJio,Indoor,4G,3,Satisfactory,19.2020039,73.1774887,Maharashtra
RJio,Indoor,4G,3,Satisfactory,19.2019995,73.1776162,Maharashtra
RJio,Indoor,4G,3,Satisfactory,19.2073629,73.1858303,Maharashtra
RJio,Indoor,4G,3,Satisfactory,19.2073629,73.1858303,Maharashtra
RJio,Indoor,4G,3,Satisfactory,19.2073629,73.1858303,Maharashtra
RJio,Indoor,4G,3,Satisfactory,19.055535193,72.869574013,Maharashtra
RJio,Indoor,4G,3,Satisfactory,19.055535193,72.869574013,Maharashtra
RJio,Indoor,4G,3,Satisfactory,19.092458503,72.925509926,Maharashtra
RJio,Indoor,4G,3,Satisfactory,19.092458503,72.925509926,Maharashtra
RJio,Indoor,4G,3,Satisfactory,19.092458503,72.925509926,Maharashtra
RJio,Indoor,4G,3,Satisfactory,19.092458503,72.925509926,Maharashtra
RJio,Indoor,4G,3,Satisfactory,19.092458503,72.925509926,Maharashtra
RJio,Indoor,4G,3,Satisfactory,19.092458503,72.925509926,Maharashtra
RJio,Indoor,4G,3,Satisfactory,19.092458503,72.925509926,Maharashtra
RJio,Indoor,4G,1,Call Dropped,25.592920194,85.139895800,Bihar
Vodafone,Indoor,2G,5,Satisfactory,26.843255,75.736858333,Rajasthan
Vodafone,Indoor,3G,5,Satisfactory,26.851391667,75.76803,Rajasthan
Vodafone,Indoor,2G,5,Satisfactory,26.842611667,75.736251667,Rajasthan
Airtel,Indoor,4G,5,Satisfactory,13.0485452,77.6226001,Karnataka
Airtel,Indoor,4G,5,Satisfactory,12.90082118,77.62878046,Karnataka
RJio,Indoor,4G,5,Satisfactory,13.0419273,77.6120652,Karnataka
RJio,Indoor,4G,5,Satisfactory,13.0419273,77.6120652,Karnataka
RJio,Indoor,4G,5,Satisfactory,13.0416441,77.6119379,Karnataka
RJio,Indoor,4G,5,Satisfactory,13.041933,77.612102,Karnataka
RJio,Indoor,4G,5,Satisfactory,13.0418043,77.611845,Karnataka
Airtel,Indoor,4G,5,Satisfactory,13.0486835,77.6225331,Karnataka
Airtel,Indoor,4G,5,Satisfactory,13.0486748,77.6225438,Karnataka
BSNL,Indoor,Unknown,1,Call Dropped,21.90804838,85.25638822,Odisha
Airtel,Indoor,4G,5,Satisfactory,13.0486842,77.6225333,Karnataka
RJio,Indoor,4G,5,Satisfactory,13.0486704,77.6225557,Karnataka
Airtel,Indoor,4G,5,Satisfactory,13.0486662,77.6225553,Karnataka
RJio,Indoor,4G,5,Satisfactory,13.0426611,77.610114,Karnataka
RJio,Indoor,4G,1,Poor Voice Quality,17.3153328,78.4474018,Telangana
Vodafone,Outdoor,4G,5,Satisfactory,26.8463062,75.8247885,Rajasthan
Idea,Indoor,3G,2,Poor Voice Quality,12.046952305,75.524067793,Kerala
BSNL,Indoor,Unknown,1,Call Dropped,21.90804838,85.25638822,Odisha
RJio,Indoor,4G,5,Satisfactory,22.482525,88.366011667,West Bengal
Airtel,Outdoor,4G,5,Satisfactory,12.92477486,80.11896766,Tamil Nadu
RJio,Indoor,4G,5,Satisfactory,22.482525,88.366011667,West Bengal
RJio,Outdoor,4G,3,Satisfactory,24.376475,87.1895214,Jharkhand
RJio,Outdoor,4G,3,Satisfactory,24.376475,87.1895214,Jharkhand
Airtel,Outdoor,4G,4,Satisfactory,22.404039980,82.756300868,Chhattisgarh
RJio,Indoor,4G,1,Poor Voice Quality,17.3153328,78.4474018,Telangana
BSNL,Indoor,Unknown,4,Satisfactory,17.4471333,78.525772,Telangana
RJio,Travelling,4G,5,Satisfactory,22.395226,87.560445,West Bengal
RJio,Travelling,4G,1,Poor Voice Quality,17.3153328,78.4474018,Telangana
RJio,Indoor,4G,1,Poor Voice Quality,28.5521566,77.2903456,Uttar Pradesh
Vodafone,Indoor,3G,4,Satisfactory,22.5822876,88.43159375,West Bengal
RJio,Indoor,4G,3,Poor Voice Quality,25.5929236,85.13992305,Bihar
Idea,Indoor,3G,5,Satisfactory,18.48581827,73.79767234,Maharashtra
Vodafone,Indoor,4G,4,Satisfactory,13.05289599,77.6357707,Karnataka
RJio,Indoor,4G,1,Poor Voice Quality,28.5521566,77.2903456,Uttar Pradesh
RJio,Outdoor,4G,4,Satisfactory,25.59301234,85.13988939,Bihar
Airtel,Travelling,4G,1,Call Dropped,9.96385109,76.28584126,Kerala
RJio,Indoor,4G,5,Satisfactory,18.976881667,73.029798333,Maharashtra
RJio,Indoor,4G,1,Poor Voice Quality,25.59301234,85.13988939,Bihar
RJio,Indoor,4G,1,Poor Voice Quality,17.3153328,78.4474018,Telangana
RJio,Indoor,4G,1,Poor Voice Quality,25.59301234,85.13988939,Bihar
RJio,Indoor,4G,1,Call Dropped,19.0642518,72.9968395,Maharashtra
BSNL,Indoor,Unknown,1,Poor Voice Quality,18.5148969,73.8473974,Maharashtra
Vodafone,Indoor,3G,1,Call Dropped,23.554231259,72.620018656,Gujarat
Vodafone,Indoor,4G,2,Poor Voice Quality,23.5541908,72.6201269,Gujarat
Vodafone,Indoor,3G,1,Call Dropped,23.554231259,72.620018656,Gujarat
Vodafone,Indoor,4G,1,Poor Voice Quality,23.554231259,72.620018656,Gujarat
Vodafone,Indoor,4G,2,Poor Voice Quality,23.5541974,72.6201236,Gujarat
RJio,Indoor,4G,5,Satisfactory,18.976881667,73.029798333,Maharashtra
RJio,Indoor,4G,5,Satisfactory,30.734280689,76.744903492,Chandigarh
Vodafone,Indoor,Unknown,5,Satisfactory,26.89993039,75.74069746,Rajasthan
RJio,Indoor,4G,4,Satisfactory,22.4423565,88.3013597,West Bengal
RJio,Indoor,4G,5,Satisfactory,18.976881667,73.029798333,Maharashtra
Idea,Indoor,3G,1,Poor Voice Quality,10.72008504,76.06089878,Kerala
Airtel,Indoor,4G,5,Satisfactory,20.920341667,75.330021667,Maharashtra
RJio,Indoor,4G,3,Satisfactory,19.092458503,72.925509926,Maharashtra
RJio,Outdoor,4G,5,Satisfactory,22.49348952,88.38414617,West Bengal
RJio,Indoor,4G,5,Satisfactory,30.7343618,76.7446992,Chandigarh
RJio,Indoor,4G,3,Satisfactory,17.438848333,81.769183333,Andhra Pradesh
RJio,Indoor,4G,5,Satisfactory,20.33708358,85.81849509,Odisha
Airtel,Indoor,4G,5,Satisfactory,29.2166486,78.96914811,Uttarakhand
Vodafone,Indoor,4G,5,Satisfactory,26.89993039,75.74069746,Rajasthan
RJio,Travelling,4G,1,Poor Voice Quality,28.59038277,76.99767828,NCT
RJio,Indoor,4G,2,Poor Voice Quality,28.59038277,76.99767828,NCT
BSNL,Outdoor,Unknown,4,Satisfactory,22.404039980,82.756300868,Chhattisgarh
BSNL,Outdoor,Unknown,4,Satisfactory,10.48781683,76.96682705,Tamil Nadu
Vodafone,Indoor,3G,4,Satisfactory,28.633453,77.2756721,NCT
RJio,Indoor,4G,4,Satisfactory,22.34328195,73.16895978,Gujarat
RJio,Indoor,4G,4,Satisfactory,26.8886565,75.76512746,Rajasthan
RJio,Outdoor,4G,4,Satisfactory,12.972544,77.5371163,Karnataka
RJio,Outdoor,4G,4,Satisfactory,12.9633545,77.5339006,Karnataka
Vodafone,Indoor,4G,1,Call Dropped,23.5541898,72.6200847,Gujarat
RJio,Indoor,4G,5,Satisfactory,24.1741116,78.1982992,Madhya Pradesh
RJio,Indoor,4G,4,Satisfactory,26.2791252,75.89282036,Rajasthan
RJio,Travelling,4G,4,Satisfactory,19.0292539,72.86189,Maharashtra
RJio,Indoor,4G,5,Satisfactory,26.2791252,75.89282036,Rajasthan
RJio,Indoor,4G,2,Poor Voice Quality,22.68380182,72.85916701,Gujarat
Vodafone,Indoor,2G,4,Satisfactory,22.5822876,88.43159375,West Bengal
Airtel,Outdoor,4G,4,Satisfactory,19.0292539,72.86189,Maharashtra
RJio,Indoor,4G,4,Satisfactory,26.2791252,75.89282036,Rajasthan
Airtel,Indoor,4G,4,Satisfactory,17.399408333,78.492491667,Telangana
RJio,Indoor,4G,1,Call Dropped,9.16376834,76.76950962,Kerala
RJio,Indoor,4G,3,Satisfactory,9.16376834,76.76950962,Kerala
RJio,Outdoor,4G,5,Satisfactory,21.16629603,79.08212362,Maharashtra
Vodafone,Indoor,Unknown,4,Satisfactory,13.05289599,77.6357707,Karnataka
Vodafone,Indoor,3G,4,Satisfactory,13.05289599,77.6357707,Karnataka
Vodafone,Indoor,4G,4,Satisfactory,13.05289599,77.6357707,Karnataka
Vodafone,Indoor,3G,4,Satisfactory,13.05289599,77.6357707,Karnataka
RJio,Indoor,4G,4,Satisfactory,26.2791252,75.89282036,Rajasthan
RJio,Indoor,4G,3,Satisfactory,9.16376834,76.76950962,Kerala
Airtel,Indoor,3G,3,Poor Voice Quality,28.63072864,77.27594678,NCT
RJio,Indoor,4G,5,Satisfactory,18.976881667,73.029798333,Maharashtra
RJio,Outdoor,4G,1,Poor Voice Quality,22.549247750,88.327627484,West Bengal
RJio,Indoor,4G,1,Poor Voice Quality,22.5491687,88.3277811,West Bengal
RJio,Travelling,4G,1,Poor Voice Quality,17.472944,78.3855489,Telangana
BSNL,Indoor,Unknown,3,Poor Voice Quality,20.335785,85.914616667,Odisha
Airtel,Indoor,4G,4,Satisfactory,20.27839242,73.01016132,Dadra and Nagar Haveli
Vodafone,Outdoor,Unknown,3,Poor Voice Quality,28.34726765,76.94934408,Haryana
Vodafone,Travelling,Unknown,5,Satisfactory,28.530073333,77.287368333,Uttar Pradesh
BSNL,Indoor,3G,4,Satisfactory,8.49574201,76.96253902,Kerala
BSNL,Travelling,3G,4,Satisfactory,8.49574201,76.96253902,Kerala
RJio,Indoor,4G,4,Satisfactory,26.2791252,75.89282036,Rajasthan
Vodafone,Travelling,3G,5,Satisfactory,28.530073333,77.287368333,Uttar Pradesh
Vodafone,Indoor,3G,4,Satisfactory,17.44082548,78.39307888,Telangana
BSNL,Outdoor,3G,5,Satisfactory,22.602963154,88.428622583,West Bengal
BSNL,Indoor,4G,4,Satisfactory,22.6012308,88.4287264,West Bengal
BSNL,Indoor,4G,1,Call Dropped,22.6012308,88.4287264,West Bengal
BSNL,Indoor,4G,5,Satisfactory,22.602963154,88.428622583,West Bengal
BSNL,Indoor,4G,5,Satisfactory,22.602963154,88.428622583,West Bengal
Airtel,Outdoor,3G,3,Satisfactory,22.75453352,86.25729133,Jharkhand
RJio,Outdoor,4G,4,Satisfactory,19.2278436,72.8653257,Maharashtra
RJio,Outdoor,4G,3,Satisfactory,19.22787749,72.86543503,Maharashtra
RJio,Travelling,4G,4,Satisfactory,19.2278436,72.8653257,Maharashtra
Vodafone,Travelling,Unknown,5,Satisfactory,28.530073333,77.287368333,Uttar Pradesh
Airtel,Indoor,4G,4,Satisfactory,17.48047778,78.36101695,Telangana
Airtel,Indoor,4G,4,Satisfactory,17.55908751,78.36466619,Telangana
Airtel,Indoor,4G,1,Poor Voice Quality,17.5411718,78.3637669,Telangana
RJio,Travelling,4G,1,Call Dropped,21.16169559,79.03547895,Maharashtra
Vodafone,Outdoor,4G,1,Call Dropped,18.93236363,72.82997072,Maharashtra
Vodafone,Indoor,3G,5,Satisfactory,20.3775882,72.9174282,Gujarat
Vodafone,Travelling,4G,5,Satisfactory,28.530073333,77.287368333,Uttar Pradesh
Vodafone,Indoor,3G,5,Satisfactory,26.89993039,75.74069746,Rajasthan
RJio,Indoor,4G,5,Satisfactory,26.19509998,91.68819027,Assam
BSNL,Travelling,3G,4,Satisfactory,20.3045475,85.8507922,Odisha
Vodafone,Travelling,2G,2,Poor Voice Quality,22.5794878,88.3006641,West Bengal
Vodafone,Indoor,Unknown,1,Poor Voice Quality,22.5992878,88.4024338,West Bengal
Vodafone,Indoor,3G,5,Satisfactory,26.89810475,75.74323897,Rajasthan
RJio,Travelling,4G,1,Call Dropped,21.16169559,79.03547895,Maharashtra
RJio,Indoor,4G,4,Satisfactory,18.69007475,73.71674054,Maharashtra
RJio,Indoor,4G,4,Satisfactory,26.2791252,75.89282036,Rajasthan
Vodafone,Indoor,4G,1,Call Dropped,23.55468755,72.62032146,Gujarat
Vodafone,Indoor,4G,5,Satisfactory,26.89810475,75.74323897,Rajasthan
RJio,Outdoor,4G,1,Poor Voice Quality,28.59038277,76.99767828,NCT
Vodafone,Indoor,Unknown,5,Satisfactory,26.862163333,75.797135,Rajasthan
RJio,Indoor,4G,1,Poor Voice Quality,17.472944,78.3855489,Telangana
RJio,Indoor,4G,4,Satisfactory,18.69007475,73.71674054,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,18.69007475,73.71674054,Maharashtra
Airtel,Indoor,Unknown,5,Satisfactory,12.8796758,77.7355907,Karnataka
Idea,Indoor,Unknown,3,Call Dropped,21.3643914,78.9286261,Maharashtra
RJio,Travelling,4G,4,Satisfactory,23.493718752,86.695431573,West Bengal
RJio,Indoor,4G,1,Poor Voice Quality,22.99442076,72.51985301,Gujarat
RJio,Outdoor,4G,4,Satisfactory,22.4623172,70.0651048,Gujarat
Airtel,Indoor,3G,4,Satisfactory,11.8335256,77.9438665,Tamil Nadu
BSNL,Indoor,Unknown,3,Poor Voice Quality,12.95704072,77.74440241,Karnataka
BSNL,Outdoor,3G,4,Satisfactory,12.96706677,77.74938707,Karnataka
BSNL,Outdoor,3G,4,Satisfactory,12.97620692,77.75083224,Karnataka
BSNL,Travelling,2G,3,Poor Voice Quality,13.02808582,77.68978003,Karnataka
Vodafone,Indoor,4G,2,Poor Voice Quality,23.55468755,72.62032146,Gujarat
Idea,Travelling,4G,2,Poor Voice Quality,12.0465877,75.5236794,Kerala
RJio,Indoor,4G,1,Poor Voice Quality,17.472944,78.3855489,Telangana
RJio,Outdoor,4G,4,Satisfactory,22.245526418,84.869871563,Odisha
RJio,Indoor,4G,5,Satisfactory,19.0569944,72.8328273,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,22.245526418,84.869871563,Odisha
Vodafone,Indoor,4G,1,Call Dropped,23.55468755,72.62032146,Gujarat
RJio,Outdoor,4G,5,Satisfactory,12.9423522,77.5726174,Karnataka
BSNL,Indoor,3G,4,Satisfactory,13.00442661,77.71178389,Karnataka
Vodafone,Indoor,3G,5,Satisfactory,12.961463333,77.511596667,Karnataka
RJio,Indoor,4G,1,Poor Voice Quality,17.50312127,78.32699358,Telangana
RJio,Indoor,4G,1,Poor Voice Quality,17.46275602,78.3672625,Telangana
RJio,Indoor,4G,1,Call Dropped,17.46275602,78.3672625,Telangana
RJio,Outdoor,4G,4,Satisfactory,17.46302175,78.36719955,Telangana
RJio,Indoor,4G,4,Satisfactory,17.46275602,78.3672625,Telangana
RJio,Indoor,4G,1,Call Dropped,17.45175468,78.38107119,Telangana
RJio,Indoor,4G,4,Satisfactory,17.46275602,78.3672625,Telangana
RJio,Indoor,4G,5,Satisfactory,17.49995063,78.33572503,Telangana
RJio,Outdoor,4G,4,Satisfactory,17.49591232,78.41396132,Telangana
RJio,Indoor,4G,4,Satisfactory,17.4415316,78.3785306,Telangana
RJio,Indoor,4G,4,Satisfactory,17.5043807,78.3284953,Telangana
RJio,Indoor,4G,4,Satisfactory,19.8419133,75.2287,Maharashtra
Vodafone,Indoor,4G,1,Call Dropped,23.55468755,72.62032146,Gujarat
Vodafone,Indoor,4G,1,Call Dropped,23.55468755,72.62032146,Gujarat
Idea,Indoor,3G,2,Poor Voice Quality,12.0465877,75.5236794,Kerala
RJio,Outdoor,Unknown,3,Satisfactory,30.11546737,78.28172851,Uttarakhand
Vodafone,Outdoor,4G,2,Poor Voice Quality,22.5786935,88.2991736,West Bengal
RJio,Indoor,4G,5,Satisfactory,22.58695261,88.42386609,West Bengal
RJio,Indoor,4G,1,Poor Voice Quality,17.472944,78.3855489,Telangana
Vodafone,Indoor,3G,5,Satisfactory,26.89810475,75.74323897,Rajasthan
Airtel,Outdoor,4G,4,Satisfactory,19.4326174,72.8164116,Maharashtra
RJio,Indoor,4G,5,Satisfactory,20.3367063,85.8174237,Odisha
Vodafone,Travelling,3G,5,Satisfactory,28.555000300,77.377283482,Uttar Pradesh
Airtel,Outdoor,3G,2,Poor Voice Quality,15.3484667,75.1057156,Karnataka
Airtel,Outdoor,3G,3,Satisfactory,15.3484667,75.1057156,Karnataka
Airtel,Outdoor,4G,3,Satisfactory,15.3484667,75.1057156,Karnataka
Airtel,Outdoor,3G,3,Satisfactory,15.3484667,75.1057156,Karnataka
Airtel,Outdoor,4G,3,Satisfactory,15.3484667,75.1057156,Karnataka
Airtel,Outdoor,3G,3,Satisfactory,15.3829456,75.1110455,Karnataka
Airtel,Outdoor,3G,3,Satisfactory,15.3829456,75.1110455,Karnataka
Airtel,Outdoor,3G,1,Poor Voice Quality,15.3829456,75.1110455,Karnataka
Airtel,Outdoor,3G,3,Satisfactory,15.3486749,75.1057071,Karnataka
Airtel,Indoor,4G,3,Satisfactory,15.3486749,75.1057071,Karnataka
Airtel,Outdoor,3G,3,Satisfactory,15.3486749,75.1057071,Karnataka
Airtel,Indoor,3G,1,Poor Voice Quality,15.3473763,75.105826,Karnataka
Airtel,Outdoor,3G,3,Satisfactory,15.3473763,75.105826,Karnataka
Airtel,Outdoor,4G,3,Satisfactory,15.3484667,75.1057156,Karnataka
Airtel,Outdoor,3G,3,Satisfactory,15.3484667,75.1057156,Karnataka
Airtel,Outdoor,3G,3,Satisfactory,15.3484667,75.1057156,Karnataka
Airtel,Indoor,4G,3,Satisfactory,15.3484667,75.1057156,Karnataka
Airtel,Outdoor,4G,2,Poor Voice Quality,15.3484667,75.1057156,Karnataka
Airtel,Outdoor,4G,3,Satisfactory,15.3484667,75.1057156,Karnataka
Airtel,Indoor,3G,3,Satisfactory,15.3484667,75.1057156,Karnataka
Airtel,Outdoor,4G,3,Satisfactory,15.3484667,75.1057156,Karnataka
